"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","C0402","143.0mm","94.2mm","143.0mm","94.2mm","143.0mm","94.2mm","T","180.0","10 pF"
"C2","C0402","143.0mm","90.2mm","143.0mm","90.2mm","143.0mm","90.2mm","T","180.0","12 pF"
"C3","C0402","143.0mm","98.3mm","143.0mm","98.3mm","143.0mm","98.3mm","T","180.0","5 pF"
"C4","C0402","143.0mm","86.1mm","143.0mm","86.1mm","143.0mm","86.1mm","T","180.0","8.2 pF"
"C5","C0402","140.0mm","94.2mm","140.0mm","94.2mm","140.0mm","94.2mm","T","180.0","10 pF"
"C6","C0402","140.0mm","98.3mm","140.0mm","98.3mm","140.0mm","98.3mm","T","180.0","5 pF"
"C7","C0402","140.0mm","90.2mm","140.0mm","90.2mm","140.0mm","90.2mm","T","180.0","12 pF"
"C8","C0402","140.0mm","86.1mm","140.0mm","86.1mm","140.0mm","86.1mm","T","180.0","8.2 pF"
"C9","C0402","142.2mm","88.1mm","142.2mm","88.1mm","142.2mm","88.1mm","T","90.0","0.75 pF"
"C10","C0402","140.7mm","92.2mm","140.7mm","92.2mm","140.7mm","92.2mm","T","90.0","5 pF"
"C11","C0402","115.8mm","26.2mm","115.8mm","26.2mm","115.8mm","26.2mm","T","270.0","0.75 pF"
"C12","C0402","118.1mm","20.1mm","118.1mm","20.1mm","118.1mm","20.1mm","T","0.0","10 pF"
"C13","C0402","118.1mm","16.0mm","118.1mm","16.0mm","118.1mm","16.0mm","T","0.0","5 pF"
"C14","C0402","118.1mm","24.1mm","118.1mm","24.1mm","118.1mm","24.1mm","T","0.0","12 pF"
"C15","C0402","115.1mm","20.1mm","115.1mm","20.1mm","115.1mm","20.1mm","T","0.0","10 pF"
"C16","C0402","115.1mm","24.1mm","115.1mm","24.1mm","115.1mm","24.1mm","T","0.0","12 pF"
"C17","C0402","115.1mm","16.0mm","115.1mm","16.0mm","115.1mm","16.0mm","T","0.0","5 pF"
"C18","C0402","115.1mm","28.2mm","115.1mm","28.2mm","115.1mm","28.2mm","T","0.0","8.2 pF"
"C19","C0402","115.8mm","18.0mm","115.8mm","18.0mm","115.8mm","18.0mm","T","270.0","10 pF"
"C20","C0402","117.3mm","22.1mm","117.3mm","22.1mm","117.3mm","22.1mm","T","270.0","5 pF"
"C21","C0402","139.7mm","57.2mm","139.7mm","57.2mm","139.7mm","57.2mm","T","180.0","0.1uF"
"C22","C0402","139.7mm","58.5mm","139.7mm","58.5mm","139.7mm","58.5mm","T","180.0","0.1uF"
"C23","CT3528","18.5mm","12.7mm","18.5mm","12.7mm","18.5mm","12.7mm","T","180.0","10uF"
"C24","CT3528","27.9mm","24.8mm","27.9mm","24.8mm","27.9mm","24.8mm","T","270.0","10uF"
"C25","CT3528","41.5mm","12.7mm","41.5mm","12.7mm","41.5mm","12.7mm","T","180.0","10uF"
"C26","CT3528","51.1mm","24.6mm","51.1mm","24.6mm","51.1mm","24.6mm","T","270.0","10uF"
"C27","C0603","86.2mm","48.8mm","86.2mm","48.8mm","86.2mm","48.8mm","T","180.0","0.1uF"
"C28","C0603","88.1mm","93.1mm","88.1mm","93.1mm","88.1mm","93.1mm","T","180.0","0.1uF"
"C34","C0402","142.2mm","96.3mm","142.2mm","96.3mm","142.2mm","96.3mm","T","90.0","10 pF"
"C38","C0805","146.1mm","65.9mm","146.1mm","65.9mm","146.1mm","65.9mm","T","45.0","680pF"
"C44","C0402","136.8mm","44.2mm","136.8mm","44.2mm","136.8mm","44.2mm","T","135.0","0.1uF"
"C45","C0402","135.5mm","51.1mm","135.5mm","51.1mm","135.5mm","51.1mm","T","315.0","0.1uF"
"C46","C0402","123.6mm","47.1mm","123.6mm","47.1mm","123.6mm","47.1mm","T","180.0","0.1uF"
"C48","C0402","139.4mm","53.7mm","139.4mm","53.7mm","139.4mm","53.7mm","T","315.0","0.1uF"
"C49","C0402","136.7mm","61.2mm","136.7mm","61.2mm","136.7mm","61.2mm","T","45.0","0.1uF"
"C50","C0402","134.1mm","66.3mm","134.1mm","66.3mm","134.1mm","66.3mm","T","45.0","0.1uF"
"C51","C0402","123.6mm","49.1mm","123.6mm","49.1mm","123.6mm","49.1mm","T","180.0","0.1uF"
"C52","C0402","123.1mm","67.6mm","123.1mm","67.6mm","123.1mm","67.6mm","T","180.0","0.1uF"
"C53","C0402","132.8mm","67.6mm","132.8mm","67.6mm","132.8mm","67.6mm","T","45.0","0.1uF"
"C54","C0402","119.5mm","61.5mm","119.5mm","61.5mm","119.5mm","61.5mm","T","0.0","0.1uF"
"C55","C0402","137.2mm","53.4mm","137.2mm","53.4mm","137.2mm","53.4mm","T","315.0","0.1uF"
"C56","C0402","121.4mm","51.8mm","121.4mm","51.8mm","121.4mm","51.8mm","T","0.0","0.1uF"
"C57","C0402","123.1mm","65.4mm","123.1mm","65.4mm","123.1mm","65.4mm","T","180.0","0.1uF"
"C60","C0402","118.1mm","28.2mm","118.1mm","28.2mm","118.1mm","28.2mm","T","0.0","8.2 pF"
"C62","C0402","118.1mm","57.2mm","118.1mm","57.2mm","118.1mm","57.2mm","T","180.0","0.1uF"
"C66","C0805","158.8mm","82.8mm","158.8mm","82.8mm","158.8mm","82.8mm","T","180.0","39 pF"
"C67","C0805","158.8mm","107.7mm","158.8mm","107.7mm","158.8mm","107.7mm","T","180.0","39 pF"
"C70","C0402","141.2mm","26.2mm","141.2mm","26.2mm","141.2mm","26.2mm","T","270.0","0.75 pF"
"C71","C0402","143.5mm","20.1mm","143.5mm","20.1mm","143.5mm","20.1mm","T","0.0","10 pF"
"C72","C0402","143.5mm","16.0mm","143.5mm","16.0mm","143.5mm","16.0mm","T","0.0","5 pF"
"C73","C0402","143.5mm","24.1mm","143.5mm","24.1mm","143.5mm","24.1mm","T","0.0","12 pF"
"C74","C0402","140.5mm","20.1mm","140.5mm","20.1mm","140.5mm","20.1mm","T","0.0","10 pF"
"C75","C0402","140.5mm","24.1mm","140.5mm","24.1mm","140.5mm","24.1mm","T","0.0","12 pF"
"C76","C0402","140.5mm","16.0mm","140.5mm","16.0mm","140.5mm","16.0mm","T","0.0","5 pF"
"C77","C0402","140.5mm","28.2mm","140.5mm","28.2mm","140.5mm","28.2mm","T","0.0","8.2 pF"
"C78","C0402","141.2mm","18.0mm","141.2mm","18.0mm","141.2mm","18.0mm","T","270.0","10 pF"
"C79","C0402","142.7mm","22.1mm","142.7mm","22.1mm","142.7mm","22.1mm","T","270.0","5 pF"
"C80","C0402","143.5mm","28.2mm","143.5mm","28.2mm","143.5mm","28.2mm","T","0.0","8.2 pF"
"C81","C0402","116.8mm","88.1mm","116.8mm","88.1mm","116.8mm","88.1mm","T","90.0","0.75 pF"
"C82","C0402","114.6mm","94.2mm","114.6mm","94.2mm","114.6mm","94.2mm","T","180.0","10 pF"
"C83","C0402","114.6mm","98.3mm","114.6mm","98.3mm","114.6mm","98.3mm","T","180.0","5 pF"
"C84","C0402","114.6mm","90.2mm","114.6mm","90.2mm","114.6mm","90.2mm","T","180.0","12 pF"
"C85","C0402","117.6mm","94.2mm","117.6mm","94.2mm","117.6mm","94.2mm","T","180.0","10 pF"
"C86","C0402","117.6mm","90.2mm","117.6mm","90.2mm","117.6mm","90.2mm","T","180.0","12 pF"
"C87","C0402","117.6mm","98.3mm","117.6mm","98.3mm","117.6mm","98.3mm","T","180.0","5 pF"
"C88","C0402","117.6mm","86.1mm","117.6mm","86.1mm","117.6mm","86.1mm","T","180.0","8.2 pF"
"C89","C0402","116.8mm","96.3mm","116.8mm","96.3mm","116.8mm","96.3mm","T","90.0","10 pF"
"C90","C0402","115.3mm","92.2mm","115.3mm","92.2mm","115.3mm","92.2mm","T","90.0","5 pF"
"C91","C0402","114.6mm","86.1mm","114.6mm","86.1mm","114.6mm","86.1mm","T","180.0","8.2 pF"
"IC1","D-PAK_TO252AA","17.8mm","27.9mm","17.8mm","27.9mm","17.8mm","27.9mm","T","0.0","NCP1117DT33G"
"IC2","D-PAK_TO252AA","40.8mm","27.9mm","40.8mm","27.9mm","40.8mm","27.9mm","T","0.0","NCP1117DT318G"
"L1","0402","115.8mm","22.1mm","115.8mm","22.1mm","115.8mm","22.1mm","T","90.0","47 nH"
"L2","0402","117.3mm","18.0mm","117.3mm","18.0mm","117.3mm","18.0mm","T","90.0","33 nH"
"L3","0402","117.3mm","26.2mm","117.3mm","26.2mm","117.3mm","26.2mm","T","90.0","56 nH"
"L4","0402","141.2mm","22.1mm","141.2mm","22.1mm","141.2mm","22.1mm","T","90.0","47 nH"
"L5","0402","142.7mm","18.0mm","142.7mm","18.0mm","142.7mm","18.0mm","T","90.0","33 nH"
"L6","0402","142.7mm","26.2mm","142.7mm","26.2mm","142.7mm","26.2mm","T","90.0","56 nH"
"L7","0402","116.8mm","92.2mm","116.8mm","92.2mm","116.8mm","92.2mm","T","270.0","47 nH"
"L8","0402","115.3mm","96.3mm","115.3mm","96.3mm","115.3mm","96.3mm","T","270.0","33 nH"
"L9","0402","115.3mm","88.1mm","115.3mm","88.1mm","115.3mm","88.1mm","T","270.0","56 nH"
"L10","0402","142.2mm","92.2mm","142.2mm","92.2mm","142.2mm","92.2mm","T","270.0","47 nH"
"L11","0402","140.7mm","96.3mm","140.7mm","96.3mm","140.7mm","96.3mm","T","270.0","33 nH"
"L12","0402","140.7mm","88.1mm","140.7mm","88.1mm","140.7mm","88.1mm","T","270.0","56 nH"
"R1","R0603","117.0mm","72.3mm","117.0mm","72.3mm","117.0mm","72.3mm","T","180.0","50"
"R2","R0603","120.3mm","72.3mm","120.3mm","72.3mm","120.3mm","72.3mm","T","180.0","50"
"R3","R0603","142.4mm","72.3mm","142.4mm","72.3mm","142.4mm","72.3mm","T","0.0","50"
"R4","R0603","145.7mm","72.3mm","145.7mm","72.3mm","145.7mm","72.3mm","T","0.0","50"
"R5","R0603","120.8mm","42.0mm","120.8mm","42.0mm","120.8mm","42.0mm","T","0.0","50"
"R6","R0603","117.5mm","42.0mm","117.5mm","42.0mm","117.5mm","42.0mm","T","0.0","50"
"R7","R0603","146.2mm","42.0mm","146.2mm","42.0mm","146.2mm","42.0mm","T","0.0","50"
"R8","R0603","142.9mm","42.0mm","142.9mm","42.0mm","142.9mm","42.0mm","T","0.0","50"
"R9","R0603","141.5mm","63.5mm","141.5mm","63.5mm","141.5mm","63.5mm","T","0.0","698"
"R10","R0603","142.4mm","57.9mm","142.4mm","57.9mm","142.4mm","57.9mm","T","270.0","50"
"R11","R0603","138.9mm","49.7mm","138.9mm","49.7mm","138.9mm","49.7mm","T","135.0","1.91k"
"R12","R0402","87.2mm","83.1mm","87.2mm","83.1mm","87.2mm","83.1mm","B","180.0","0 Ohm"
"R13","R0402","87.2mm","81.8mm","87.2mm","81.8mm","87.2mm","81.8mm","B","180.0","0 Ohm"
"R14","R0402","87.2mm","80.5mm","87.2mm","80.5mm","87.2mm","80.5mm","B","180.0","0 Ohm"
"R15","R0402","87.2mm","79.2mm","87.2mm","79.2mm","87.2mm","79.2mm","B","180.0","0 Ohm"
"R16","R0402","87.2mm","62.4mm","87.2mm","62.4mm","87.2mm","62.4mm","B","180.0","0 Ohm"
"R17","R0402","87.2mm","61.1mm","87.2mm","61.1mm","87.2mm","61.1mm","B","180.0","0 Ohm"
"R18","R0402","87.2mm","59.8mm","87.2mm","59.8mm","87.2mm","59.8mm","B","180.0","0 Ohm"
"R19","R0402","87.2mm","58.5mm","87.2mm","58.5mm","87.2mm","58.5mm","B","180.0","0 Ohm"
"R20","R0402","87.2mm","84.3mm","87.2mm","84.3mm","87.2mm","84.3mm","B","180.0","0 Ohm"
"R21","R0402","85.0mm","57.3mm","85.0mm","57.3mm","85.0mm","57.3mm","B","180.0","0 Ohm"
"R22","R0402","85.0mm","56.0mm","85.0mm","56.0mm","85.0mm","56.0mm","B","180.0","0 Ohm"
"R23","R0402","85.0mm","54.7mm","85.0mm","54.7mm","85.0mm","54.7mm","B","180.0","0 Ohm"
"R24","R0402","85.0mm","53.5mm","85.0mm","53.5mm","85.0mm","53.5mm","B","180.0","0 Ohm"
"R29","R0603","97.3mm","73.3mm","97.3mm","73.3mm","97.3mm","73.3mm","T","90.0","1K"
"R30","R0402","142.4mm","55.6mm","142.4mm","55.6mm","142.4mm","55.6mm","T","0.0","25"
"R31","R0402","142.4mm","60.2mm","142.4mm","60.2mm","142.4mm","60.2mm","T","180.0","25"
"R52","R0402","155.7mm","90.4mm","155.7mm","90.4mm","155.7mm","90.4mm","B","180.0","0 Ohm"
"R53","R0402","155.7mm","100.1mm","155.7mm","100.1mm","155.7mm","100.1mm","B","180.0","0 Ohm"
"R65","R0603","93.6mm","73.3mm","93.6mm","73.3mm","93.6mm","73.3mm","T","90.0","1K"
"R66","R0603","101.0mm","73.3mm","101.0mm","73.3mm","101.0mm","73.3mm","T","90.0","1K"
"R67","R0603","104.6mm","73.3mm","104.6mm","73.3mm","104.6mm","73.3mm","T","90.0","1K"
"R68","R0603","104.6mm","44.6mm","104.6mm","44.6mm","104.6mm","44.6mm","T","90.0","1K"
"R69","R0603","97.3mm","44.6mm","97.3mm","44.6mm","97.3mm","44.6mm","T","90.0","1K"
"R70","R0603","93.6mm","44.6mm","93.6mm","44.6mm","93.6mm","44.6mm","T","90.0","1K"
"R99","R0603","101.0mm","44.6mm","101.0mm","44.6mm","101.0mm","44.6mm","T","90.0","1K"
"T1","SM22","147.6mm","58.3mm","147.6mm","58.3mm","147.6mm","58.3mm","T","90.0","ETC1-1-13TR"
"T2","ADTT","116.1mm","76.2mm","116.1mm","76.2mm","116.1mm","76.2mm","T","0.0","ADTT1-1"
"T3","ADTT","141.5mm","76.2mm","141.5mm","76.2mm","141.5mm","76.2mm","T","0.0","ADTT1-1"
"T4","ADTT","121.7mm","38.1mm","121.7mm","38.1mm","121.7mm","38.1mm","T","180.0","ADTT1-1"
"T5","ADTT","147.1mm","38.1mm","147.1mm","38.1mm","147.1mm","38.1mm","T","180.0","ADTT1-1"
"U1","CP_56_1_ADI","128.9mm","56.9mm","128.9mm","56.9mm","128.9mm","56.9mm","T","90.0","AD9959BCPZ"
"U5","SO20W","86.2mm","83.7mm","86.2mm","83.7mm","86.2mm","83.7mm","T","270.0","74LS541A"
"U6","SO20W","86.2mm","57.9mm","86.2mm","57.9mm","86.2mm","57.9mm","T","270.0","74LS541A"
"XTAL2","HC49UP","159.8mm","95.3mm","159.8mm","95.3mm","159.8mm","95.3mm","B","90.0","25 MHz"
